Average of ad_price,mileage
9600000.00,12056
11490000.00,12057
10460000.00,12080
11590000.00,12100
60000.00,12129
10990000.00,12210
65000.00,12222
9256666.67,12300
8149000.00,12317
496250.00,12345
4999000.00,12350
12499994.50,12400
5390000.00,12410
8990000.00,12422
5345000.00,12435
9490000.00,12448
12550000.00,12460
9500000.00,12474
7990000.00,12482
9490000.00,12498
9100000.00,12499
7542499.75,12500
15990000.00,12507
5100000.00,12527
7990000.00,12529
10472000.00,12530
9500000.00,12547
7700000.00,12552
13492378.00,12566
2890000.00,12571
8549000.00,12581
10590000.00,12596
8690000.00,12600
11990000.00,12602
5190000.00,12621
6299000.00,12658
11890000.00,12684
7990000.00,12694
9700000.00,12700
9291600.00,12710
6990000.00,12711
9900000.00,12780
5090000.00,12791
8690000.00,12800
5300000.00,12866
9070000.00,12900
6790000.00,12946
8850000.00,12951
5299000.00,12978
8399000.00,12982
6722750.00,13000
11198658.00,13006
4190000.00,13023
8657055.00,13085
5200000.00,13100
9750000.00,13155
27490000.00,13181
9990000.00,13231
15290000.00,13256
4999000.00,13270
9888000.00,13295
9359866.67,13300
10000000.00,13333
12200000.00,13341
10744500.00,13400
8090000.00,13429
11724000.00,13440
8900000.00,13450
100000.00,13482
5200000.00,13492
8971800.00,13500
11590000.00,13519
7983000.00,13569
100000.00,13588
9990000.00,13600
10350000.00,13730
13615600.00,13740
2590000.00,13757
10295000.00,13800
7890000.00,13831
13492378.00,13847
8350000.00,13856
13492378.00,13861
9290000.00,13897
13925000.00,13900
8490000.00,13905
27290000.00,13955
2190000.00,13957
8613357.00,13967
11868005.29,14000
10260000.00,14014
11990000.00,14027
8777000.00,14081
12147499.75,14100
17990000.00,14105
9490000.00,14180
6590000.00,14200
11990000.00,14213
2500000.00,14227
8950000.00,14250
6900000.00,14295
9999000.00,14300
6590000.00,14324
7844999.50,14400
7899999.00,14421
10640000.00,14427
8580825.00,14481
17990000.00,14483
10499888.78,14500
9990000.00,14521
10990000.00,14543
9490000.00,14547
8990000.00,14565
14050000.00,14600
5090000.00,14667
11990000.00,14670
9993333.33,14700
6590000.00,14704
5367000.00,14742
5200000.00,14770
9300000.00,14797
5166333.33,14800
9290000.00,14817
5290000.00,14820
9490000.00,14824
10990000.00,14840
1479500.00,14878
10500000.00,14891
6980000.00,14900
12440000.00,14950
6599000.00,14970
8844000.00,14990
11390000.00,14993
9587848.48,15000
4990000.00,15001
5350000.00,15072
5299000.00,15088
6590000.00,15089
4990000.00,15091
12990000.00,15092
16276000.00,15100
11623590.00,15134
8990000.00,15137
39900000.00,15170
20335000.00,15200
10490000.00,15213
27390000.00,15221
5299000.00,15231
5139787.00,15284
10647500.00,15300
7990000.00,15335
7990000.00,15371
9490000.00,15377
9699000.00,15393
11550000.00,15400
199000.00,15402
5049000.00,15409
8490000.00,15431
7990000.00,15434
3300000.00,15435
14990000.00,15481
1999000.00,15496
8317999.60,15500
9420000.00,15510
110000.00,15537
24149999.00,15542
4799000.00,15580
21990000.00,15600
11400000.00,15601
15980000.00,15642
5680000.00,15700
13740000.00,15720
8290000.00,15729
10990000.00,15767
16990000.00,15799
10820000.00,15800
5200000.00,15820
6599000.00,15850
8490000.00,15870
4150000.00,15886
15517000.00,15900
2399000.00,15910
8690000.00,15966
12490000.00,15981
9345660.00,16000
8490000.00,16004
27990000.00,16066
7890000.00,16077
15686000.00,16090
14335000.00,16100
2199000.00,16102
4495000.00,16120
11525000.00,16121
10490000.00,16157
1999999.00,16200
10747000.00,16202
25482944.00,16223
11990000.00,16231
12000000.00,16241
11799000.00,16259
7799000.00,16268
8500000.00,16301
11999000.00,16364
4790000.00,16400
4990000.00,16436
4190000.00,16446
8290000.00,16470
10496370.00,16476
5118447.00,16486
9657142.86,16500
11990000.00,16592
12305000.00,16600
10990000.00,16650
5199000.00,16661
7990000.00,16680
12049999.50,16700
11980000.00,16720
7930395.00,16739
8550000.00,16759
7990000.00,16780
8391666.67,16800
7790000.00,16867
8972500.00,16870
8900000.00,16880
11090000.00,16889
7042500.00,16900
7990000.00,16919
4122000.00,16921
11990000.00,16923
4999000.00,16938
5249000.00,16940
4999000.00,16980
1449000.00,16983
12121010.00,16988
10572700.00,16990
9702250.00,17000
8990000.00,17068
16025000.00,17100
10990000.00,17119
11790000.00,17200
5250000.00,17203
8490000.00,17208
10490000.00,17256
8390000.00,17260
5300000.00,17276
8027235.00,17282
8500000.00,17290
8998000.00,17300
9180000.00,17333
8499000.00,17340
27390000.00,17350
8490000.00,17363
10990000.00,17373
8490000.00,17375
7814320.00,17394
9803333.33,17400
12990000.00,17413
13500000.00,17417
4999999.00,17437
4590000.00,17471
11490000.00,17488
8790000.00,17498
4299000.00,17499
11244999.50,17500
8990000.00,17514
2495000.00,17531
11990000.00,17553
11386400.00,17570
2799000.00,17587
8943333.33,17600
10397900.00,17640
7690000.00,17666
9363000.00,17700
15888000.00,17724
10070000.00,17780
9030000.00,17812
9690000.00,17842
9990000.00,17888
11890000.00,17890
4799999.00,17900
5299000.00,17925
6899000.00,17984
10132690.43,18000
9500000.00,18011
9190000.00,18026
10990000.00,18037
9305210.00,18142
10990000.00,18143
10400000.00,18154
9530000.00,18193
12687000.00,18200
149000.00,18213
3850000.00,18250
7999000.00,18276
7644000.00,18300
99000.00,18349
9965200.00,18360
7796000.00,18369
9999500.00,18400
8590000.00,18439
6912400.00,18460
6780614.14,18500
9550000.00,18525
7999000.00,18532
11490000.00,18580
11500000.00,18600
3499000.00,18670
4590000.00,18689
10490000.00,18690
65000.00,18691
11100000.00,18700
12106600.00,18710
13500000.00,18768
8599000.00,18796
6313000.00,18800
19990000.00,18852
5299000.00,18875
10107250.00,18900
8600000.00,18973
1950000.00,18998
10257882.24,19000
2250000.00,19086
8990000.00,19113
5122000.00,19125
4990000.00,19190
9579666.67,19200
12712077.00,19211
7990000.00,19221
11990000.00,19250
1990000.00,19263
6220000.00,19300
11390000.00,19304
8544500.00,19313
113333.33,19349
8199000.00,19350
1690000.00,19393
12215333.33,19400
9614800.00,19500
8449000.00,19519
13382383.00,19521
8490000.00,19548
12136200.00,19550
6949000.00,19587
8990000.00,19600
14990000.00,19605
800000.00,19620
11600000.00,19624
7490000.00,19630
20990000.00,19650
12317250.00,19700
790000.00,19750
9699000.00,19751
8784750.00,19800
5794500.00,19816
11437600.00,19820
8490000.00,19824
9699000.00,19856
11999000.00,19873
4999000.00,19887
6980000.00,19893
11490000.00,19900
10790000.00,19924
17590000.00,19995
7214416.63,20000
10990000.00,20030
2599000.00,20092
549999.00,20099
27400000.00,20100
10989000.00,20110
5349000.00,20113
200000.00,20163
13999999.00,20190
13660000.00,20194
13580000.00,20200
5249000.00,20250
11240000.00,20264
9490000.00,20281
7344500.00,20300
13990000.00,20343
2799000.00,20359
11211260.00,20423
13650000.00,20430
5699000.00,20435
14990000.00,20468
11409750.00,20500
2949000.00,20583
4995000.00,20590
10690000.00,20591
4999000.00,20662
2599000.00,20700
8490000.00,20706
10943500.00,20739
7915000.00,20740
5249000.00,20747
8699000.00,20751
5799499.50,20800
8999000.00,20853
4790000.00,20897
2899000.00,20908
10075000.00,20950
8990000.00,20958
9690000.00,20986
4150000.00,20989
7169400.00,21000
10590000.00,21002
9490000.00,21010
7990000.00,21050
9990000.00,21099
2289000.00,21153
11990000.00,21236
8200000.00,21250
5390000.00,21262
11190000.00,21300
5201333.33,21400
11400000.00,21425
13590000.00,21458
9105000.00,21500
6950000.00,21560
2600000.00,21568
9390000.00,21570
10990000.00,21576
13902500.00,21583
7990000.00,21589
7990000.00,21609
9562400.00,21630
8190000.00,21640
5390000.00,21674
8199500.00,21700
8990000.00,21720
1998000.00,21761
11439300.00,21790
11180000.00,21809
17490000.00,21850
5170000.00,21857
10499000.00,21895
8780000.00,21899
11500000.00,21900
5200000.00,21901
8400000.00,21920
2950000.00,21940
4990000.00,21941
10466500.00,22000
11226200.00,22090
2990000.00,22096
7790000.00,22100
5190000.00,22104
4990000.00,22187
7895000.00,22200
5232500.00,22222
6980000.00,22233
19900000.00,22251
5199000.00,22286
12094500.00,22300
4049000.00,22306
10390000.00,22350
8500000.00,22390
9990000.00,22450
9200000.00,22459
9990000.00,22485
10034500.00,22500
2000000.00,22531
9385720.00,22546
2899000.00,22682
8934000.00,22700
11990000.00,22710
5300000.00,22711
1999000.00,22750
11990000.00,22792
16585000.00,22800
2599999.00,22810
5790000.00,22817
199000.00,22860
200000.00,22870
12270000.00,22900
24165900.00,22990
8103800.00,23000
150000.00,23026
16990000.00,23031
8490000.00,23049
4990000.00,23058
11347866.67,23100
11999000.00,23160
13494500.00,23200
12990000.00,23233
15990000.00,23255
8990000.00,23277
11990000.00,23306
8490000.00,23341
5200000.00,23357
8714480.00,23369
7990000.00,23370
3199000.00,23399
6432500.00,23400
8163166.67,23500
9448500.00,23530
12990000.00,23535
2980000.00,23548
1150000.00,23595
12140000.00,23600
1999000.00,23672
10500000.00,23683
8550000.00,23687
10290000.00,23700
1470000.00,23703
12190000.00,23724
5290000.00,23738
7890000.00,23779
8888000.00,23782
1899000.00,23783
9250000.00,23800
9190000.00,23846
360000.00,23900
65000.00,23911
4990000.00,23963
9390000.00,23966
1899000.00,23975
8989000.00,23980
8990000.00,23985
7777136.27,24000
11290000.00,24010
399000.00,24015
11200000.00,24044
6883750.00,24100
11130000.00,24116
2800000.00,24154
6559500.00,24169
100000.00,24221
1500000.00,24232
11990000.00,24246
8890000.00,24285
7990000.00,24288
3840000.00,24300
8590000.00,24301
7990000.00,24340
7573333.00,24356
10675000.00,24400
9990000.00,24401
8652500.00,24500
1699000.00,24543
8833900.00,24570
6400000.00,24619
8300000.00,24670
200000.00,24678
8250000.00,24699
15219666.67,24700
12100000.00,24750
8873000.00,24773
2490000.00,24793
2749000.00,24795
10680000.00,24800
5290000.00,24840
9490000.00,24843
4980000.00,24890
10280000.00,24900
67000.00,24923
11500000.00,24950
195000.00,24968
13171189.63,25000
12222000.00,25080
11907500.00,25100
10999000.00,25126
10250000.00,25181
13143500.00,25200
8118800.00,25210
10210000.00,25272
16029500.00,25300
8500000.00,25326
7488888.00,25333
16597000.00,25338
6930000.00,25353
9190000.00,25400
7777000.00,25426
5190000.00,25439
12270100.00,25440
5099000.00,25472
219999.00,25485
9990000.00,25500
7680000.00,25511
8499000.00,25521
11083000.00,25600
2790000.00,25625
10876900.00,25640
1490000.00,25673
9690000.00,25710
9399000.00,25762
9390000.00,25781
2890000.00,25790
12768500.00,25800
5190000.00,25818
6099000.00,25827
8490000.00,25872
10495000.00,25875
3362500.00,25930
6016249.92,26000
2198000.00,26074
2599000.00,26080
8990000.00,26100
12190000.00,26126
7990000.00,26128
20990000.00,26205
5350000.00,26250
8690000.00,26254
17588900.00,26260
15998900.00,26300
1599000.00,26350
6990000.00,26368
8200000.00,26400
9190000.00,26417
666000.00,26457
10990000.00,26461
5190000.00,26497
7283200.00,26500
2199000.00,26507
11990000.00,26508
2790000.00,26569
11790000.00,26600
8889000.00,26610
10490000.00,26682
1690000.00,26690
9245000.00,26700
5100000.00,26728
595000.00,26750
10233000.00,26800
8499999.00,26857
14500000.00,26866
11482800.00,26870
13090000.00,26876
9200000.00,26887
11878620.00,26899
10700000.00,26900
7999000.00,26920
3299000.00,26984
9926333.28,27000
9899000.00,27022
8999000.00,27056
7990000.00,27099
9500000.00,27100
9390000.00,27129
2499000.00,27144
10670000.00,27160
39990000.00,27176
10490000.00,27187
8999000.00,27190
11870000.00,27200
11399000.00,27202
2499000.00,27207
12030000.00,27208
7999000.00,27215
10316166.50,27222
2480000.00,27235
9290000.00,27251
9550000.00,27273
10990000.00,27279
6644500.00,27300
9890000.00,27338
9290000.00,27342
18490000.00,27353
11500000.00,27362
9500000.00,27364
9360000.00,27382
2237777.00,27397
11700000.00,27400
9590000.00,27402
9490000.00,27424
2550000.00,27426
149000.00,27442
27700000.00,27500
5249000.00,27505
11499000.00,27619
8890000.00,27672
6990000.00,27679
23660007.33,27700
9390000.00,27723
11999000.00,27756
9490000.00,27761
145000.00,27770
18425000.00,27800
2900000.00,27813
9990000.00,27821
10990000.00,27860
9699000.00,27880
11799000.00,27915
8477000.00,27925
4799000.00,27931
9900000.00,27938
8244470.53,28000
8290000.00,28022
12900000.00,28062
6160520.00,28075
1598000.00,28132
9790000.00,28146
5494500.00,28150
8362000.00,28185
11990000.00,28200
9290000.00,28201
2549000.00,28244
9580000.00,28259
2290000.00,28378
9700000.00,28400
2590000.00,28416
9799000.00,28471
1999500.00,28500
9290000.00,28529
1490000.00,28536
16999000.00,28543
10990000.00,28549
8790000.00,28555
2000000.00,28557
4990000.00,28560
9370000.00,28600
10519000.00,28610
6490000.00,28664
9900000.00,28688
5495000.00,28700
9190000.00,28732
12290000.00,28750
9290000.00,28784
6490000.00,28800
8890000.00,28837
1999000.00,28852
16994500.00,28900
8599000.00,28919
1899000.00,28957
9390000.00,28959
8437608.65,29000
2290000.00,29121
8990000.00,29129
2900000.00,29162
8990000.00,29167
11490000.00,29200
9999999.00,29225
4040000.00,29300
7890000.00,29400
1990000.00,29419
9990000.00,29437
4990000.00,29447
9190000.00,29500
26960000.00,29501
9899000.00,29600
8200000.00,29624
10020000.00,29700
195000.00,29774
5333330.00,29780
9790000.00,29799
9050000.00,29800
9390000.00,29804
9109750.00,29900
8350000.00,29942
5149999.00,29950
13950000.00,29980
1275000.00,29986
12280000.00,29999
8961351.04,30000
4990000.00,30046
2599000.00,30050
10690000.00,30090
6990000.00,30133
2550000.00,30140
1250000.00,30200
8899000.00,30210
9199000.00,30269
10496666.67,30300
5322000.00,30307
6900000.00,30400
2490000.00,30425
9299000.00,30449
9850000.00,30450
180000.00,30451
9250000.00,30463
8190000.00,30500
15490000.00,30540
6600000.00,30569
12190000.00,30589
2990000.00,30600
129999.00,30621
8200000.00,30648
8700000.00,30651
1444444.00,30653
9350000.00,30670
9990000.00,30757
178000.00,30800
8100000.00,30832
8790000.00,30863
7800000.00,30900
9500000.00,30912
11290000.00,30984
2250000.00,30988
8353395.08,31000
4999000.00,31045
4999000.00,31060
5089000.00,31100
4450000.00,31112
9490000.00,31166
5094500.00,31200
7930000.00,31300
6890000.00,31362
10399000.00,31376
11390000.00,31421
5250000.00,31500
6940000.00,31511
9450000.00,31532
11750000.00,31552
3140000.00,31600
11390000.00,31628
8999000.00,31667
7263333.33,31700
2590000.00,31735
17590000.00,31800
5149600.00,31809
10990000.00,31820
7599000.00,31833
7899000.00,31934
6528266.53,32000
4150000.00,32044
9290000.00,32065
9250000.00,32169
12888000.00,32267
11440300.00,32300
8326600.00,32340
7790000.00,32410
4999000.00,32411
5617250.00,32500
11490000.00,32600
8999000.00,32654
2899000.00,32660
1549000.00,32700
14690000.00,32701
6960000.00,32782
9675000.00,32800
2549000.00,32838
9690000.00,32900
5199000.00,32931
9190000.00,32960
11199999.00,32974
110000.00,32990
9251192.15,33000
595000.00,33062
17490000.00,33200
2790000.00,33243
8490000.00,33261
1899000.00,33300
4999000.00,33306
2590000.00,33363
5069000.00,33399
5053000.00,33400
5190000.00,33418
150000.00,33429
6745600.00,33500
9490000.00,33527
7890000.00,33561
14990000.00,33568
179000.00,33600
2789500.00,33650
11800000.00,33661
10399191.00,33670
10939600.00,33680
6590000.00,33685
9682666.67,33700
7990000.00,33708
6490000.00,33714
550000.00,33794
6871666.33,33800
5499000.00,33900
1599000.00,33930
10490000.00,33950
7225529.41,34000
4999000.00,34018
13888000.00,34033
4190000.00,34093
11990000.00,34130
9888000.00,34160
9399000.00,34200
200000.00,34228
11499000.00,34256
7990000.00,34264
7990000.00,34317
5249000.00,34352
16990000.00,34383
1198500.00,34400
8490000.00,34409
5200000.00,34470
3547000.00,34500
7999999.00,34522
3499000.00,34560
23990000.00,34570
1999000.00,34574
10989500.00,34600
11790000.00,34630
2590000.00,34688
9850000.00,34691
14797500.00,34700
2099000.00,34710
10924000.00,34740
2750000.00,34750
7980000.00,34776
5934500.00,34800
599000.00,34870
4180000.00,34940
7830800.00,34990
6590000.00,34998
6031645.16,35000
10590000.00,35036
2199000.00,35061
7499000.00,35113
2950000.00,35114
10990000.00,35148
12280000.00,35177
2290000.00,35194
25750000.00,35200
5198000.00,35210
9999999.00,35233
8072000.00,35284
1400000.00,35345
3590000.00,35366
1599000.00,35381
2730000.00,35400
10290000.00,35467
5100000.00,35490
5290000.00,35491
8318000.00,35500
6600000.00,35596
6270000.00,35600
11390000.00,35630
11590000.00,35653
9350000.00,35688
10990000.00,35700
9499000.00,35765
8890000.00,35790
10200000.00,35800
7999000.00,35833
1290000.00,35865
3150000.00,35870
6079333.33,35900
9550000.00,35933
8790000.00,35950
590000.00,35970
5199000.00,35974
5448176.41,36000
1250000.00,36012
5199000.00,36035
1990000.00,36073
2899000.00,36075
8500000.00,36088
2299000.00,36100
15188000.00,36104
11660000.00,36109
2890000.00,36154
5250000.00,36200
9300000.00,36210
1899000.00,36239
9150000.00,36270
1899000.00,36326
12390000.00,36349
8690000.00,36414
8574000.00,36500
8990000.00,36502
8499000.00,36505
9599000.00,36603
11500000.00,36657
75000.00,36700
16990000.00,36718
4998000.00,36748
1999999.00,36777
5795000.00,36790
9997225.00,36800
1580000.00,36880
2990000.00,36950
8544500.00,36980
7081890.00,37000
8100000.00,37100
8990000.00,37115
130000.00,37143
8378000.00,37200
9400000.00,37235
2199000.00,37252
24100000.00,37300
10740000.00,37325
11400000.00,37346
2050000.00,37372
5420000.00,37400
5290000.00,37440
1649000.00,37446
7644000.00,37500
1999999.00,37521
5150000.00,37533
5390000.00,37570
2290000.00,37586
3025000.00,37600
2280000.00,37643
10490000.00,37683
7858000.00,37750
6900000.00,37755
2290000.00,37800
10990000.00,37845
9990000.00,37900
9500000.00,37979
9789000.00,37980
6960636.27,38000
